tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""BR-00382/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00428/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00433/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00494/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00585/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00709/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00913/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00950/2022""",BR,BRASIL,Presidente,1,https://static.poder360.com.br/2022/08/Pesquisa-CNT-Opiniao.pdf,BR,pr,0,,,Lula,"37,4",Jair Bolsonaro,"31,5",Ciro Gomes,"4,4",Simone Tebet,1,,,,,,,,,,,,,,,,
"""BR-00950/2022""",BR,BRASIL,Presidente,1,https://static.poder360.com.br/2022/08/Pesquisa-CNT-Opiniao.pdf,BR,pr,1,,,Lula,"42,3",Jair Bolsonaro,"34,1",Ciro Gomes,"7,3",Simone Tebet,"2,1",Soraya Thronicke,0,Luiz Felipe d'Ávila,"0,3",Vera Lúcia,"0,1",Sofia Manzano,0,Léo Péricles,"0,1",Roberto Jefferson,"0,2",Pablo Marçal,"0,4",Constituinte Eymael,0
"""BR-01423/2022""",BR,BRASIL,Presidente,1,https://folhadooeste.com.br/cidades/a-disputa-bolsonaro-x-lula-em-santa-catarina-1.2443093,SC,pr,0,,,Lula,"29,28",Jair Bolsonaro,"35,92",,,,,,,,,,,,,,,,,,,,
