outro id,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
,BR-00992/2014,http://www.pinheirinho.net/2014/09/,BR,BRASIL,1.0,PR,,,,DILMA ROUSSEFF,"40,4",MARINA SILVA,"25,2",AECIO NEVES,"19,8",,,,,,,,,,,,,,,,,,,,,,,,
,BR-01032/2014,https://agentepoeta.blogspot.com/2014/,BR,BRASIL,1.0,PR,,,,DILMA,"40,6",AECIO NEVES,24,MARINA SILVA,"21,4",LUCIANA GENRO,"1,1",,,,,,,,,,,,,,,,,,,,,,
,BR-01129/2014,https://www.campograndenews.com.br/politica/aecio-esta-14-pontos-a-frente-de-dilma-roussef-em-mato-grosso-do-sul,BR,BRASIL,1.0,PR,0.0,,,AECIO NEVES,"46,94",DILMA,"35,29",,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-01129/2014,https://www.campograndenews.com.br/politica/aecio-esta-14-pontos-a-frente-de-dilma-roussef-em-mato-grosso-do-sul,BR,BRASIL,1.0,PR,1.0,,,AECIO NEVES,"53,53",DILMA,"40,24",,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-01139/2014,https://amarelinho10.blogspot.com/2014_10_20_archive.html,BR,BRASIL,1.0,PR,1.0,,,DILMA ROUSSEF,"45,5",AECIO NEVES,"44,5",,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-01139/2014,https://politicaenfoco.blogspot.com/2014/10/,BR,BRASIL,1.0,PR,0.0,,,DILMA ROUSSEFF,"43,8",AECIO NEVES,"42,1",,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-01199/2014,http://www.angueraonlineba.com/2014/10/,BR,BRASIL,1.0,PR,0.0,,,AECIO NEVES,"44,4",DILMA ROUSSEFF,"43,3",,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-01199/2014,https://blogdoedsonjoel.blogspot.com/2014/,BR,BRASIL,1.0,PR,1.0,,,AECIO NEVES,"45,3",DILMA ROUSSEFF,"44,7",,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-01200/2014,https://www.campograndenews.com.br/politica/em-ms-aecio-tem-vantagem-de-13-pontos-e-segue-na-frente-de-dilma,BR,BRASIL,1.0,PR,,,,AECIO NEVES,"52,56",DILMA ROUSSEFF,"39,76",,,,,,,,,,,,,,,,,,,,,,,,,,
MG-08614/2018,BR-02780/2018,http://www.jornalcorreiodacidade.com.br/noticias/15263-pesquisa-prove-2018-mais-da-metade-dos-lafaietenses-ainda-nao-sabe-em-quem-votar,BR,BRASIL,1.0,DF,0.0,,,MARCO ANTONIO,"2,8",MANOEL VESPUCIO,"2,8",PADRE JOAO,"1,8",,,,,,,,,,,,,,,,,,,,,,,,
