tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13
PA-00240/2012,https://blogdoluizpereira.blogspot.com/2012/10/normal-0-21-false-false-false-pt-br-x_4.html,PA,MARABÁ,1,p,0.0,,,João Salame,43,Tião Miranda,31,Maurino Magalhães,6,César do Comércio,1.0,,,,,,,,,,,,,,,,,,
PA-00312/2012,https://pjpontes.blogspot.com/2012/10/ipespe-ibope-e-vox-populi-revela.html,PA,BELÉM,1,p,,,1.0,Edmilson Rodrigues,32,Zenaldo Coutinho,25,José Priante,13,Jefferson Lima,10.0,Anivaldo Vale,9.0,Arnaldo Jordy,7.0,Alfredo Costa,3.0,Leni Campelo,1.0,,,,,,,,,,
PA-00326/2012,"https://www.terra.com.br/noticias/brasil/politica/pa-boca-de-urna-indica-empate-tecnico-e-2-turno-em-belem,3108bb169b86b310VgnCLD200000bbcceb0aRCRD.html",PA,BELÉM,1,p,,,1.0,Edmilson Rodrigues,33,Zenaldo Coutinho,33,José Priante,10,Jefferson Lima,10.0,,,,,,,,,,,,,,,,,,
PA-03477/2016,https://soldocarajas.blogspot.com/2016/09/parauapebas-pesquisa-ibope-tem-apenas.html,PA,PARAUAPEBAS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB-00134/2012,http://www.eleicoes.ibope.com.br/Paginas/Crescimento-de-Tatiana-deve-levar-disputa-em-Campina-Grande-para-o-segundo-turno.aspx,PB,CAMPINA GRANDE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB-00154/2012,http://www.focandoanoticia.com.br/romero-tem-57-e-tatiana-43-dos-validos-em-campina-grande-diz-ibope/,PB,CAMPINA GRANDE,1,p,1.0,,,Romero Rodrigues,49,Tatiana Medeiros,36,,,,,,,,,,,,,,,,,,,,,,
PB-09606/2016,https://www.todapolitica.com/eleicoes-2016/pesquisa-eleitoral-joao-pessoa/,PB,JOÃO PESSOA,1,p,,,,Luciano Cartaxo,53,Cida Ramos,29,Professor Charliton,2,Victor Hugo,2.0,,,,,,,,,,,,,,,,,,
PE-00253/2012,https://marcosalmeidalocutor.wordpress.com/2012/10/05/eleicoes-2012-em-caruaruibope-queiroz-tem-62-dos-votos-validos-miriam-36/,PE,CARUARU,1,p,,,,José Queiroz,56,Miriam Lacerda,33,Fábio José,2,,,,,,,,,,,,,,,,,,,,
PE-00265/2012,http://g1.globo.com/pernambuco/eleicoes/2012/noticia/2012/10/julio-tem-53-dos-votos-validos-e-fernando-30-diz-ibope-em-petrolina.html,PE,PETROLINA,1,p,1.0,,,Julio,47,Fernando Filho,26,Odacy Amorim,14,Rosalvo,1.0,,,,,,,,,,,,,,,,,,
PE-00266/2012,http://g1.globo.com/pernambuco/eleicoes/2012/noticia/2012/10/geraldo-tem-54-dos-validos-daniel-23-e-costa-18-aponta-ibope.html,PE,RECIFE,1,p,1.0,,,Geraldo Julio,47,Daniel Coelho,21,Humberto Costa,16,Mendonça,4.0,,,,,,,,,,,,,,,,,,
