candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,wrong
JUNIOR VITALE,MARIO ROBERTO VITALE JUNIOR,VITALE,
ROBERTO FERNANDES,ROBERTO FERNANDES GUIMARAES,DR ROBERTO GUIMARAES,
GUILHERME CAMPO,GUILHERME CAMPO DALL ORTO LEITE AMARAL,GUILHERME DALL ORTO,
ROBERTO GUIMARAES,ROBERTO FERNANDES GUIMARAES,DR ROBERTO GUIMARAES,
FERNANDO BORGES,FERNANDO BORGES CORREIA FILHO,PROFESSOR FERNANDO BORGES,
LUCIMARA,LUCIMARA GODOY VILAS BOAS,CAPITA LUCIMARA,
DALVA DIAS,DALVA DIAS SILVA BERTO,DALVA,
THIAGO SORATTO,THIAGO HENRIQUE MAIA SORATTO,THIAGO PT,
APRILLANTI,JOSE ROBERTO APRILLANTI JUNIOR,JUNIOR APRILANTI,
AURELIO,AURELIO HERCULES,AURELIO HERCULES,
CESAR GELMI,EDUARDO CESAR GELMI,EDU GELMI,
EVANDRO PEREIRA,EVANDRO PEREIRA SOUSA,EVANDRO,
EURILEIA ROCHA,EURILEIA ROCHA BORGES,DRA EURILEIA ROCHA,
PAULO,PAULO HERNANDES MOURA LIMA,PAULO HERNANDES,
BRUNO,BRUNO NEVES BARBOSA,BRUNO NEVES,
IRANI,IRANI VANDERLEY SILVA,PROFESSORA IRANI,
ADEMILSON,ADEMILSON SILVA ASSUNCAO,PROFESSOR ADEMILSON,
ALEXANDRE,ALEXANDRE REZENDE RODRIGUES SILVA,XANDAO,
EDINALVA RAMOS,EDINALVA OLIVEIRA FERREIRA RAMOS,EDINALVA OLIVEIRA,
TIAGO ANDRINO,TIAGO PAULA ANDRINO,TIAGO AMASTHA ANDRINO,
GIL BARISON,GIL FONSECA BARISON,BARISON,
HELDER VILELA,JOAO HELDER VILELA,VILELA PT,
JOAQUIM ROCHA,JOAQUIM ROCHA PEREIRA,DR JOAQUIM ROCHA,
CINTHIA,CINTHIA ALVES CAETANO RIBEIRO,CINTHIA RIBEIRO,
TIAGO A ANDRINO,TIAGO PAULA ANDRINO,TIAGO AMASTHA ANDRINO,
BAZZOLI,JOAO APARECIDO BAZZOLI,PROFESSOR BAZZOLI,
MARIA JESUS,MARIA JESUS BARROS VARAO,DONA MARIA,
DIRCINEU,DIRCINEU FRANCISCO BOLINA,DIRCINEU BOLINA,
NAZARE,NAZARE AMANCIO SOUZA,NAZARE AMANCIO,
ROBERTO KIMIO,ROBERTO KIMIO KABAYASHI,KIMIO,
ACROMILDO,ACROMILDO PINHEIRO SANTOS,ACROMILDO PINHEIRO,
HOSANA,HOSANA SANTOS MARCONDES,HOSANA MARCONDES,
GENESIO,GENESIO FELIPE NATIVIDADE,GENESIO NATIVIDADE,
BOTOGOSKI,LUIZ GUSTAVO BOTOGOSKI,GUSTAVO,
MARCOS ANTONIO,MARCOS ANTONIO DAVID,PEZAO,
EVANDRO ROMAN,EVANDRO ROGERIO ROMAN,ROMAN,
MOACYR,MOACYR ELIAS FADEL JUNIOR,MOACYR FADEL,
MARCELO,MARCELO MENARIM,MARCELO MENARIM,
OSMAR LUIZ,OSMAR LUIZ PALINSKI,OSMAR LUIZ PALINSKI,
PERPETUA,PERPETUA SOCORRO CRUZ SOUZA,PER CENTENARIO,
CLEIDE PRATES,CLEIDE INES GRIEBELER PRATES,CLEIDE,
CLAUDIO GONCALVES,CLAUDIO VANIO GONCALVES,PROF CLAUDIO GONCALVES,
RAFAEL GUILHERME,RAFAEL GUILHERME SANTOS,PROFESSOR RAFAEL GUILHERME,
CLAUDIO CASAGRANDE,CLAUDIO CESAR CASAGRANDE,CASAGRANDE,
PASE,JOSE ANTONIO PASE,JOSE PASE,
LISETE ENGELMANN,LISETE MARIA TRAESEL ENGELMANN,LISETE,
FRANCISCHINI,FERNANDO DESTITO FRANCISCHINI,FERNANDO FRANCISCHINI,
JOAO GUILHERME,JOAO GUILHERME OLIVEIRA MORAES,DR JOAO GUILHERME NOVO,
CAROLINE ARNS,CAROLINE ARNS SANTA CRUZ ARRUDA,CAROL ARNS,
CHRISTIANE,CHRISTIANE SOUZA YARED,CHRISTIANE YARED,
LUIZ HENRIQUE,LUIZ HENRIQUE DIAS SILVA,LUIZ,
MAC DONALD,PAULO MAC DONALD GHISI,PAULO MAC DONALD,
BURKO,VITOR HUGO RIBEIRO BURKO,VITOR HUGO BURKO,
JANAINA,JANAINA NAUMANN,JANAINA NAUMANN,
VITOR HUGO,VITOR HUGO RIBEIRO BURKO,VITOR HUGO BURKO,
HUGO BURKO,VITOR HUGO RIBEIRO BURKO,VITOR HUGO BURKO,
REGIS,REGIS WILLIAN SIQUEIRA RODRIGUES,REGIS WILLIAM,
LUIZ SETTI,LUIZ ANTONIO PENTEADO SETTI,LUIZ ANTONIO SETTI,
REVELINO,CLAUDIO REVELINO,CLAUDIO REVELINO,
VILELA,REGINALDO VILELA,REGINALDO VILELA,
SCALASSARA,CARLOS ROBERTO SCALASSARA,CARLOS SCALASSARA,
JUNIOR SANTOS,EDERSON JUNIOR SANTOS ROSA,JUNIOR SANTOS ROSA,
AGUILA MISUTA,NELSON MISUTA AGUILA,DELEGADO AGUILA MISUTA,
ALVARO LOUREIRO,ALVARO LOUREIRO JUNIOR,ALVARO LOUREIRO JUNIOR,
EVANDRO FREITAS,EVANDRO BUQUERA FREITAS OLIVEIRA,EVANDRO FREITAS OLIVEIRA,
MAXIMINO,MAXIMINO PIETROBON,MAXIMINO PIETROBON,
ENIO,ENIO ALVES OLIVEIRA,PROFESSOR ENIO,
LIONEZ MARIA,LIONEZ MARIA MAINO,LIONEZ MARIA MAINO,
FERNANDO SANTIN,FERNANDO RICARDO SANTIN,DR FERNANDO SANTIN,
LUIZ ERNESTO,LUIZ ERNESTO GIACOMETTI,LUIZ ERNESTO GIACOMETTI,
FABIANO ELIAS,FABIANO VICENTE VENETE ELIAS,FABIANO VICENTE ELIAS,
ELIAS GOMES,ELIAS JOCID GOMES COSTA,ELIAS GOMES COSTA,
RODRIGO FERNANDO,RODRIGO FERNANDO KOWASKI,RODRIGO FERNANDO KOWASKI,
LARA,FERNANDO FARIA LARA,DELEGADO F LARA,
ALBINO CORAZZA,ALBINO CORAZZA NETO,CORAZZA,
DANIEL VIRIATO,DANIEL VIRIATO AFONSO,DANIEL,
GENIR,GENIR ANTONIO JUNCKES,GENIR ANTONIO JUNCKES,
ALOIS,ALOIS ZATOR,ALOIS ZATOR,
GENIR JUNCKES,GENIR ANTONIO JUNCKES,GENIR ANTONIO JUNCKES,
ANTONIO SILVEIRA,ANTONIO SILVEIRA MACHADO JUNIOR,TONHAO,
VALMIR RODRIGUES,VALMIR AUGUSTO RODRIGUES,VALMIR,
JOAO PAULO,JOAO PAULO KARAM KLEINUBING,JOAO PAULO KLEINUBING,
CLAUDIO VIGNATTI,CLAUDIO ANTONIO VIGNATTI,VIGNATTI,
LEO GRANZOTTO,LEONARDO HOMRICH GRANZOTTO,LEONARDO GRANZOTTO,
ANIBAL DARIO,ANIBAL JOSE SIEBER DARIO,DR ANIBAL DARIO,
COSME MANIQUE,COSME MANIQUE BARRETO,CORONEL MANIQUE BARRETO,
MANIQUE BARRETO,COSME MANIQUE BARRETO,CORONEL MANIQUE BARRETO,
GEAN LOUREIRO,GEAN MARQUES LOUREIRO,GEAN,
CARLOS NOLA,VANIR CARLOS NOLA,NOLA,
LEI,VANDERLEI ALEXANDRE,LEI ALEXANDRE,
GEOVANE,GEOVANE GODOI,GEOVANE GODOI,
CAROLINE,CAROLINE BATISTOTI,CAROL BATISTOTI,
WAN DALL,KLEBER EDSON WAN DALL,KLEBER WAN DALL,
ARNALDO LODETTI,ARNALDO LODETTI JUNIOR,ARNALDINHO LODETTI,
DALVANIA,DALVANIA PEREIRA CARDOSO,DALVANIA CARDOSO,
ARNALDO,ARNALDO LODETTI JUNIOR,ARNALDINHO LODETTI,
ANDRE,ANDRE LUIZ MOSER,ANDRE MOSER,
MARISE,MARISE MORELL,MARISE MORELL,
LUCIO,LUCIO VANDERLINDE,LUCIO VANDERLINDE,
CLOVIS,CLOVIS MACIEL KRUGER,CLOVIS KRUGER,
NILZA SIMAS,NILZA NILDA SIMAS,NILZA,
PAULO FERES,PAULO SERGIO FERES ALVES,CORONEL FERES,
NELSON COELHO,NELSON HENRIQUE COELHO,COMANDANTE NELSON COELHO,
DALMO CLARO,DALMO CLARO OLIVEIRA,DOUTOR DALMO,
ANELISIO,ANELISIO MACHADO,ANELISIO ASSESSORITEC,
IVANDRO,IVANDRO GERALDO SOUZA,IVANDRO SOUZA,
DALMO OLIVEIRA,DALMO CLARO OLIVEIRA,DOUTOR DALMO,
FRANCISCO ASSIS,FRANCISCO ASSIS NUNES,ASSIS,
SERGIO GUIMARAES,SERGIO ROSA GUIMARAES,REPORTER SERGIO GUIMARAES,
ADELIRIO MONTEIRO,ADELIRIO MONTEIRO SANTOS,ADELIRIO,
MOACIR TEIXEIRA,MOACIR FRANCISCO TEIXEIRA,MOACIR,
PAULO SERGIO CLAUDINO,PAULO SERGIO CARDOSO CLAUDINO,PAULINHO,
CRISTIANO FERREIRA,CRISTIANO ALEXANDRE FERREIRA,DR CRISTIANO,
JOSE FONTOURA,JOSE FONTOURA DUTRA JUNIOR,FONTOURA,
MARTARELLO,OSCAR MARTARELLO,OSCAR MARTARELLO,
LEANDRO VIGO,LEANDRO JUNIOR VIGO,VIGO,
AGENOR MAIER,AGENOR JUNIOR MAIER,MAIER,
KARLA,KARLA FRANCIELI GALENDE,KARLA GALENDE,
IZANILDO,IZANILDO BRAMBATI,IZANILDO BRAMBATI,
BRITO,JOSE GAUDENCIO ALVES BRITO,BRITO FARMACIA,
ADILTO,ADILTO LUIS FERRARI,ADILTO FERRARI,
STELA FARIAS,STELA BEATRIZ FARIAS LOPES,STELA,
JOSE ARNO,JOSE ARNO APPOLO AMARAL,APPOLO,
LUIZ FERNANDO,LUIZ FERNANDO MAINARDI,MAINARDI,
FERNANDO VARGAS,FERNANDO VARGAS VIEIRA,FERNANDO VARGAS VIEIRA,
JOSE OTAVIO,JOSE OTAVIO GERMANO,JOSE OTAVIO GERMANO,
LEANDRO BALARDIN,LEANDRO TITTELMAIER BALARDIN,BALARDIN,
GERCEI SILVEIRA,GERCEI CARLOS RODRIGUES SILVEIRA,PROFESSOR GERCEI,
BUSATO,LUIZ CARLOS GHIORZZI BUSATO,LUIZ CARLOS BUSATO,
PAULO POLIS,PAULO ALFREDO POLIS,POLIS,
CLAUDIO PAGLIOSA,CLAUDIO JOAO PAGLIOSA,CLAUDIO PAGLIOSA DODO,
PAULO ARGEU,PAULO ARGEU SARAIVA FERNANDES,PAULO ARGEU FERNANDES,
DIEGO CASTRO,DIEGO LUIS CASTRO,POLICIAL DIEGO CASTRO,
TAMIRES,TAMIRES PAVEGLIO,TAMIRES PAVEGLIO,
RODRIGO ZUCCO,RODRIGO LORENZINI ZUCCO,DELEGADO ZUCCO,
EDUARDO,EDUARDO RODRIGUES RENDA,EDUARDO RENDA,
EVANDRO,EVANDRO LUIS MASSING,EVANDRO MASSING,
NELSON MARCHEZAN,NELSON MARCHEZAN JUNIOR,NELSON MARCHEZAN JUNIOR,
JOSE FORTUNATI,JOSE ALBERTO REUS FORTUNATI,FORTUNATI,
VALTER NAGELSTEIN,VALTER LUIS COSTA NAGELSTEIN,VALTER,
MANUELA D AVILA,MANUELA PINTO VIEIRA D AVILA,MANUELA,
MELCHIONNA,FERNANDA MELCHIONNA E SILVA,FERNANDA MELCHIONNA,
JULIANA,JULIANA BRIZOLA,JULIANA BRIZOLA,
DERLY,JOAO DERLY OLIVEIRA NUNES JUNIOR,JOAO DERLY,
CARLOS EURICO,CARLOS EURICO LUZ PEREIRA,CARLOS EURICO PEREIRA,
FREDERICO BARROS,FREDERICO BARROS SILVA,FREDERICO,
LUIS CLOVIS,LUIS CLOVIS MACHADO ROCHA,LUIS CLOVIS MACHADO,
ALESSANDRO BAUER,ALESSANDRO BAUER PEREIRA,ALESSANDRO BAUER PEREIRA,
JARBAS,JARBAS DANIEL ROSA,JARBAS ROSA,
GIOVANE,GIOVANE WICKERT,GIOVANE WICKERT,
ROSANE,ROSANE TORNQUIST PETRY,ROSANE TORNQUIST PETRY,
JERONIMO SILVA,JERONIMO DILAMAR SILVA,JERONIMO CAIAIO,
VIANA,EDUARDO WANILSON MARTINS VIANA,EDUARDO VIANA,
ROSANE PETRY,ROSANE TORNQUIST PETRY,ROSANE TORNQUIST PETRY,
LINDINEIDE BELEM,LINDINEIDE BELEM FREITAS,LINDINEIDE,
ROBERTO ARRUDA,ROBERTO ALVES ARRUDA,PROF ROBERTO ARRUDA,
ROBERTO MOURA,ROBERTO CARLOS MOURA,ROBERTO,
REGINA CELIA,REGINA CELIA SABIONI,DRA REGINA SABIONI,
REGINA SABIONI,REGINA CELIA SABIONI,DRA REGINA SABIONI,
ELIO LOPES,ELIO CUSTODIO LOPES,ELIO MACACO,
AFRANIO,AFRANIO MARTINEZ MARQUES,AFRANIO MARQUES,
VIVIANE ORRO,VIVIANE ALMEIDA NOGUEIRA ORRO,DRA VIVIANE ORRO,
ODILON,ODILON FERRAZ ALVES RIBEIRO,ODILON RIBEIRO,
VIVIANE,VIVIANE ALMEIDA NOGUEIRA ORRO,DRA VIVIANE ORRO,
CIPRIANO,CIPRIANO MENDES COSTA,CIPRIANO MENDES,
MARIANGELA,MARIANGELA BENTOS SILVA,MARIANGELA CONTERRA,
SEBASTIAO SANTOS,SEBASTIAO RODRIGUES SANTOS,SEBASTIAOZINHO TABOCO,
OLIVEIRA SAMPAIO,ROGACIANO OLIVEIRA SAMPAIO FILHO,OLIVEIRA,
JOABE ALMEIDA,JOABE ALMEIDA SANTOS,JOABE ALMEIDA XIRU,
ADILSON GONCALVES,ADILSON GONCALVES MACEDO,DR ADILSON,
PAULO RAYE,PAULO CESAR RAYE AGUIAR,DR PAULO RAYE,
WELITON MARCOS,WELITON MARCOS RODRIGUES OLIVEIRA,WELLINGTON MARCOS,
JAIME,JAIME RODRIGUES NETO,JAIME RODRIGUES,
VINICIUS TINAN,VINICIUS TINAN DANTAS,VINICIUS DANTAS,
ELIO ANGELO,ELIO ANGELO COELHO,MINEIRO,
GABRIEL,GERARDO GABRIEL NUNES BOCCIA,GABRIEL BOCCIA,
DOUGLAS,DOUGLAS ROSA GOMES,DOUGLAS GOMES,
JULIO,JULIO CESAR PROENCA LEITE,JULIO LEITE,
REINALDO,REINALDO MIRANDA BENITES,REINALDO PITI,
ODILSON SOARES,ODILSON ARRUDA SOARES,ODILSON,
ROSILENE TEIXEIRA,ROSILENE ALVES TEIXEIRA,ROSI TEIXEIRA,
RONIVON,RONIVON PARREIRA NEVES,RONIVON PARREIRA,
MAURO RUI,MAURO RUI HEISLER,MAURO,
EDELO,EDELO MARCELO FERRARI,EDELO FERRARI,
ELIENE,ANTONIA ELIENE LIBERATO DIAS,ELIENE LIBERATO,
PAULO,PAULO DONIZETE COSTA,PAULO DONIZETE,
SERGIO HARFOUCHE,SERGIO FERNANDO RAIMUNDO HARFOUCHE,PROMOTOR HARFOUCHE,
DAGOBERTO NOGUEIRA,DAGOBERTO NOGUEIRA FILHO,DAGOBERTO,
HARFOUCHE,SERGIO FERNANDO RAIMUNDO HARFOUCHE,PROMOTOR HARFOUCHE,
SIDNEIA TOBIAS,SIDNEIA CATARINA TOBIAS,DELEGADA SIDNEIA TOBIAS,
ESACHEU,ESACHEU CIPRIANO NASCIMENTO,ESACHEU NASCIMENTO,
KEMP,PEDRO CESAR KEMP GONCALVES,PEDRO KEMP,
MIGLIOLI,EDNEI MARCELO MIGLIOLI,MARCELO MIGLIOLI,
JOAO ROCHA,JOAO BATISTA ROCHA,PROF JOAO ROCHA,
JEAN CARLOS,JEANCARLOS FREITAS OLIVEIRA,JEAN POTENCIA,
CLEMENCIO RIBEIRO,CLEMENCIO FRUTUOSO RIBEIRO,RIBEIRO CICLO RIBEIRO,
BINOTTI,FLORI LUIZ BINOTTI,LUIZ BINOTTI,
CELSO COSTIN,CELSO MARTIN COSTIN,PROFESSOR CELSO COSTIN,
ELANO HOLANDA,ELANO HOLANDA ALMEIDA,ELANO,
IUNES,MARCELO AGUILAR IUNES,MARCELO IUNES,
DUARTE,PAULO ROBERTO DUARTE,PAULO DUARTE,
GABRIEL,GABRIEL ALVES OLIVEIRA,DR GABRIEL,
MARCELO,MARCELO AGUILAR IUNES,MARCELO IUNES,
ANISIO,ANISIO GUILHERME FONSECA,ANISIO GUATO,
ANDRE LUIZ,ANDRE LUIZ PEREIRA FERNANDES,ANDRE FARMACIA,
PAULO BERTINI,PAULO CONSTANTE BERTINI,BERTINI,
JOSE TADEU VIEIRA,JOSE TADEU VIEIRA PEREIRA,TADEU VIEIRA,
FELIX,LEANDRO FELIX PEREIRA,LEANDRO FELIX,
EDILEUDO,EDILEUDO RAMALHO LUCENA,EDILEUDO RAMALHO,
OSIEL SOUZA,OSIEL FERREIRA SOUZA,DR OSIEL SOUZA,
EMANUEL,EMANUEL PINHEIRO,EMANUEL PINHEIRO,
FRANCA,ROBERTO FRANCA AUAD,ROBERTO FRANCA,
GISELA,GISELA SIMONA VIANA SOUZA,GISELA SIMONA,
PAULO HENRIQUE,PAULO HENRIQUE SILVA GRANDO,PAULO HENRIQUE GRANDO,
GILBERTO LOPES,GILBERTO LOPES FILHO,GILBERTO LOPES FILHO,
SIMONA,GISELA SIMONA VIANA SOUZA,GISELA SIMONA,
ADELCINO LOPO,ADELCINO FRANCISCO LOPO,ADELCINO,
JAIR JUNIOR,JAIR VIEIRA ARAUJO JUNIOR,PASTOR JAIR JUNIOR,
LEANDRO,LEANDRO CARLOS CARDOSO,LEANDRO CARDOSO,
GERSON,GERSON ROSA MORAES,GERSON ROSA,
RACIB,RACIB PANAGE HARB,RACIB HARB,
JOAO CARLOS,JOAO CARLOS SOUZA,JOAO CARLOS JOCA,
MAURO THRONICKE,MAURO THRONICKE RODRIGUES,MAURO THRONICKE RODRIGUES,
ENIO,ENIO RIBEIRO OLIVEIRA,PROFESSOR ENIO,
DAITON,DAITON ZANATA SANTOS,DAITON ZANATA SANTOS,
GILBERTO FERREIRA,GILBERTO FERREIRA SOUZA,GILBERTO,
DIONAS MARTINS,DIONAS MARTINS SOUZA,BANANA,
MARIANO RIBEIRO,MARIANO FERREIRA RIBEIRO,MARIANO,
RONALDO BRUNET,RONALDO BRUNET PEREIRA,RONALDO PORCO,
VALERIO,VALERIO ANTUNES ARGUELHO,VALERIO ANTUNES,
PAULO HENRIQUE,PAULO HENRIQUE MENEZES MEDEIROS,PAULO HENRIQUE MEDEIROS,
JOSE ARNALDO,JOSE ARNALDO FERREIRA MELO,ZE ARNALDO,
CARLOS HEITOR,CARLOS HEITOR PAULA,CARLINHOS ESCRITORIO,
ANDRE MOURA,ANDRE MOURA BRANDAO,ANDREZAO,
JOSE NILTON,JOSE NILTON FREITAS,JOSE NILTON INTERNET,
CLAUDIO,CLAUDIO XIMENES LOPES,CLAUDIO XIMENES,
JAIME,JAIME MEDEIROS ECHEVERRIA,JAIME ECHEVERRIA,
CRISTIANE,CRISTIANE FERREIRA VERLAINE OLIVEIRA,CRISTIANE VERLAINE,
MUNIR SADEQ,MUNIR SADEQ RAMUNIEH,MUNIR,
ROBERTO SILVA,ROBERTO SILVA SANTOS,ROBERTO SILVA SANTOS,
LENILSO,LENILSO CARVALHO ANTUNES,LENILSO CARVALHO,
JEAMILTON,JEAMILTON OLIVEIRA BARBOSA,PROFESSOR JEAMILTON,
REGINALDO,REGINALDO PEREIRA FERREIRA,REGINALDO FOTOGRAFO,
BRUNO,LUIS HENRIQUE ALMEIDA BRUNO,BRUNO HOTEL DOIS GAUCHOS,
IZAURI,JOSE IZAURI MACEDO,DR IZAURI,
ONEVAN,ONEVAN JOSE MATOS,ONEVAN MATOS,
TELMA,MARIA TELMA OLIVEIRA MINARI,TELMA MINARI,
GEOVANE,GEOVANE PEREIRA SANTOS,GEOVANE VILA NOVA,
ILCA CORRAL,ILCA CORRAL MENDES DOMINGOS,ILCA DOMINGOS,
DOMINIQUE,DOMINIQUE SOUSA RODRIGUES,DOMINIQUE RODRIGUES,
LEOCIR,LEOCIR HANEL,LEOCIR HANEL,
SIMONE,SIMONE MENDES AGUIAR,DOUTORA SIMONE,
HASHIOKA,ROBERTO HASHIOKA SOLER,ROBERTO HASHIOKA,
GILBERTO,JOSE GILBERTO GARCIA,GILBERTO GARCIA,
TADAO,LUIZ TADAO MITSUNAGA,PROFESSOR TADAO,
MOAMMAR,MOAMMAR MUHAMMAD EL ABED,ENGENHEIRO MOAMMAR,
MAYCOL,MAYCOL HENRIQUE QUEIROZ ANDRADE,MAYCOL QUEIROZ,
SINDOLE,SINDOLEY LUIZ SOUZA MORAIS,SINDOLEY MORAIS,
FREDSON,FREDSON FREITAS COSTA,FREDSON FREITAS,
RENATO,RENATO CARLOS RODRIGUES TOSTA,RENATO ARLIVRE,
SINDOLEY,SINDOLEY LUIZ SOUZA MORAIS,SINDOLEY MORAIS,
HELIO PELUFFO,HELIO PELUFFO FILHO,HELIO PELUFFO FILHO,
NILSON GOIS,NILSON PEREIRA GOIS,ENGENHEIRO NILSON GOIS,
CAROL FRACASSO,CAROLINE CASSOL FRACASSO,DRA CAROL,
FRANKLIN CARVALHO,FRANKLIN LUIS CARVALHO SILVA,FRANKLIN,
MOACYR ALMEIDA,MOACYR ALMEIDA FILHO,MOACYR VACARIA,
MOACYR,MOACYR ALMEIDA FILHO,MOACYR VACARIA,
DALTRO,DALTRO FIUZA,DALTRO FIUZA,
ENELVO,ENELVO IRADI FELINI,ENELVO FELINI,
JOAO LUCIANO,JOAO LUCIANO JORDAO BORGES,JOAO LUCIANO BORGES,
HENRIQUE WANCURA,HENRIQUE WANCURA BUDKE,HENRIQUE,
DONIZETE,SEBASTIAO DONIZETE BARRACO,DONIZETE BARRACO,
ASSIS ALVES,ASSIS ALVES ALMEIDA,SACI,
LUCIANO BORGES,JOAO LUCIANO JORDAO BORGES,JOAO LUCIANO BORGES,
LINCOLN,LINCOLN HEIMAR SAGGIN,LINCOLN SAGGIN,
FLAVIO VARGAS,FLAVIO ALBERTO VARGAS,FLAVIO FRICAL,
KALIL,KALIL SARAT BARACAT ARRUDA,KALIL BARACAT,
FLAVIO,FLAVIO ALBERTO VARGAS,FLAVIO FRICAL,
MILTON DANTAS,MILTON DANTAS OLIVEIRA,MILTAO,
DANTAS,MILTON DANTAS OLIVEIRA,MILTAO,
SILVANA,SILVANA MARIA ALVES CORDEIRO,SILVANA CORDEIRO,
ALEXANDRINO,ALEXANDRINO AREVALO GARCIA,ALEXANDRINO GARCIA,
ACACIO,ACACIO ALVES SOUZA,DR ACACIO,
ALMIR,ALMIR ASSAD,DR ALMIR,
JANAILZA,JANAILZA TAVEIRA LEITE,DRA JANAILZA,
JUMAR ALVES,JUMAR ALVES RODRIGUES,JUMAR ALVES RODRIGUES,
ENELTO RAMOS,ENELTO RAMOS SILVA,ENELTO,
MARCIO CORREA,MARCIO AURELIO CORREA,MARCIO,
VALERIANO ABREU,VALERIANO PEREIRA ABREU,VALERIANO,
JOSMAR MOURA,JOSMAR SANTOS MOURA,JOSMAR MOURAGAS,
GOMIDE,ANTONIO ROBERTO OTONI GOMIDE,ANTONIO GOMIDE,
NAVES,ROBERTO NAVES E SIQUEIRA,ROBERTO NAVES,
DOUGLAS CARVALHO,DOUGLAS RODRIGUES CARVALHO,DOUGLAS,
REGINALDO ARAUJO,REGINALDO ARAUJO PIRES,REGINALDO,
JOSE,JOSE OTACILIO CUNHA,JOSE OTACILIO,
MENDANHA,GUSTAVO MENDANHA MELO,GUSTAVO MENDANHA,
ISAIAS,ISAIAS DIAS PIAGEM,ISAIAS PIAGEM,
EDSON,EDSON BUENO COUTINHO,EDSON BUENO,
RENATO CAMARA,RENATO CUNHA CAMARA,RENATO CUNHA CAMARA,
ADEMIR GUERREIRO,ADEMIR GUERREIRO BARBOSA,DR ADEMIR GUERREIRO,
RENATO CUNHA,RENATO CUNHA CAMARA,RENATO CUNHA CAMARA,
WAMISTON,WAMISTON GOMES SILVA,PROF WAMISTOM,
SOLON FILHO,SOLON DUAILIBE FILHO MARTINS,DR SOLON FILHO,
ELENIL PENHA,ELENIL PENHA ALVES BRITO,ELENIL,
HUGO MENDES,HUGO WEYSFIELD MENDES,DR HUGO MENDES,
AQUILES,AQUILES PEREIRA SOUSA,AQUILES AREIA,
ARMINDO CAYRES,ARMINDO CAYRES ALMEIDA,ARMINDO CAYRES ALMEIDA,
ELIEUDES,ELIEUDES DIAS MORAES,ELIEUDES MORAES,
FELIX ALVES,FELIX APARECIDO ALVES,FELIX,
GARIBALDO,GARIBALDO FERREIRA SANTANA NETO,GARIBALDO NETO,
JOSE ANTONIO,JOSE ANTONIO SILVA,ZE ANTONIO,
KLEBER MARRA,KLEBER LUIZ MARRA,KLEBER MARRA KGM,
JOSE ARAUJO,JOSE ARAUJO LIMA,ZE ARAUJO,
BELELI,CARLOS EDUARDO BELELI,CORONEL BELELI,
KLEBER,KLEBER COSME FREITAS,KLEBER FREITAS,
EDU,EDUARDO COSTA SANCHES,DUDU GRAER,
CLEOMAR,CLEOMAR MARTINS ARAUJO,CLEOMAR CONTADOR,
AVAILTON,AVAILTON CANDIDO VIEIRA,AVAILTON CANDIDO,
JOSE ANTONIO,JOSE ANTONIO FRANCISCO VIEIRA,JOSE ANTONIO VIEIRA,
MARCOS ANTONIO,MARCOS ANTONIO CARLOS,MARCOS FARMACIA,
EDMARIO BARBOSA,EDMARIO CASTRO BARBOSA,EDMARIO,
AURELIO DIAS,IRIS AURELIO BORGES DIAS,AURELIO,
ALLAN XAVIER,ALLAN PAES XAVIER,DR ALLAN XAVIER,
SILVANO,SILVANO PEREIRA NETO,PROFESSOR SILVANO,
KATTYA OLIVEIRA,KATTYA MARIA BAPTISTA OLIVEIRA,DRA KATTYA OLIVEIRA,
SONIA,SONIA CHAVES FREITAS CARVALHO NASCIMENTO,SONIA CHAVES,
B B,KATTYA MARIA BAPTISTA OLIVEIRA,DRA KATTYA OLIVEIRA,1
MARCO TULIO,MARCO TULIO SILVA,TULLIO,
SERGIANA,SERGIANA NASCIMENTO PEREIRA,MANDATA COLETIVA,
FRANCISCA RIBEIRO,FRANCISCA RIBEIRO CARDOSO,PROFESSORA FRANCISCA RIBEIRO,
DONIZETE,DEMEVALDO DONIZETE FERREIRA,DONIZETE BADECO,
BUENO HERNANY,HERNANY BUENO ARAUJO,SARGENTO BUENO HERNANY,
CICERO JACINTO,CICERO ALVES JACINTO,CAPITAO CICERO JACINTO,
ADRIANA ACCORSI,ADRIANA SAUTHIER ACCORSI,DELEGADA ADRIANA ACCORSI,
VIRMONDES,VIRMONDES BORGES CRUVINEL FILHO,VIRMONDES CRUVINEL,
MAGUITO,LUIZ ALBERTO MAGUITO VILELA,MAGUITO VILELA,
VANDERLAN,VANDERLAN VIEIRA CARDOSO,VANDERLAN CARDOSO,
ANTONIO VIEIRA,ANTONIO VIEIRA NETO,ANTONIO VIEIRA NETO,
ANTONIO NETO,ANTONIO VIEIRA NETO,ANTONIO VIEIRA NETO,
ADRIANA,ADRIANA SAUTHIER ACCORSI,DELEGADA ADRIANA ACCORSI,
JOAO BATISTA,JOAO BATISTA OLIVEIRA,JOAO BATISTA JB,
COLEMAR,COLEMAR CARDOSO QUEIROZ,COLEMAR CARDOSO,
JUVENCIO,LUIZ JUVENCIO OLIVEIRA,LUIZ JUVENCIO,
NILZA,NILZA MARIA BARBOSA,PROFESSORA NILZA,
JANEZIO PEREIRA,JANEZIO PEREIRA SILVA,JANEZIO,
GUTIERRES,GUTIERRES BORGES TORQUATO,GUTIERRES TORQUATO,
