info_muni,candidate,correction
DOURADOS,MURILO ZAUITH,
DOURADOS,PROFESSOR ENIO,
DOURADOS,RACIB,RACIB HARB
DOURADOS,RACIB HARB,
DOURADOS,RENATO CAMARA,
DOURADOS,RODOLFO NOGUEIRA,
DOURADOS,VALDENIR MACHADO,
ÉRICO CARDOSO,ERALDO,
ÉRICO CARDOSO,ERICO,
ESTÂNCIA,DOMINGUINHOS,
ESTÂNCIA,GILSON ANDRADE,
ESTÂNCIA,IVAN LEITE,
ESTÂNCIA,MARCIO SOUSA,
EXTREMOZ,CAIO BRUNO,
EXTREMOZ,CARLOS ALBERTO,
EXTREMOZ,DRA RENATA,RENATA REGO
EXTREMOZ,EDILSON NASCIMENTO,
EXTREMOZ,EDUARDO MOTTA,
EXTREMOZ,ENILTON TRINDADE,
EXTREMOZ,JOAZ OLIVEIRA,
EXTREMOZ,JUSSARA SALES,
EXTREMOZ,MAJOR ALBERTO,
EXTREMOZ,RENATA REGO,
FERNANDO FALCÃO,CREZIA MOACIR,
FERNANDO FALCÃO,RAIMUNDA JOSEMAR,
FIRMINÓPOLIS,JORGE ESCRITORIO,
FIRMINÓPOLIS,JOSE AIRTON LOJA,
FIRMINÓPOLIS,LEONARDO OLIVEIRA BRITO,
FIRMINÓPOLIS,WAGNER VILLELA,
FLORESTÓPOLIS,NELSON JUNIOR,
FLORESTÓPOLIS,NICINHO,
FORQUILHINHA,CARLOS NOLA,
FORQUILHINHA,DIMAS KAMMER,
FORQUILHINHA,FELIX HOBOLD,
FORQUILHINHA,GEOVANE GODOI,
FORQUILHINHA,GIOVANE GODOI,GEOVANE GODOI
FORQUILHINHA,JOSE CLAUDIO GONCALVES,
FORQUILHINHA,JULIANO ARNS,
FORQUILHINHA,LEI ALEXANDRE,
FORQUILHINHA,MACIEL SOLER,
FRONTEIRAS,ALEXANDER SAMPAIO,
FRONTEIRAS,ALEXANDRE,
FRONTEIRAS,EUDES AGRIPINO,
FRONTEIRAS,GENILSON,
FRONTEIRAS,MARIA JOSE,
FRONTEIRAS,VERONICA RIBEIRO,
FRONTEIRAS,ZE HAMILTON,
GARARU,BAITO TETE,
GARARU,ELIZABETH,
GARARU,IGOR,
GARARU,SERGIO MURILO,
GARARU,VOLNEY BRITO,
GARARU,ZETE,
GOVERNADOR VALADARES,ANDRE MERLO,
GOVERNADOR VALADARES,CORONEL LACERDA,
GOVERNADOR VALADARES,CORONEL SANDRO,
GOVERNADOR VALADARES,DELEGADO RUI SILVA,
GOVERNADOR VALADARES,DR LUCIANO,
GOVERNADOR VALADARES,LEONARDO MONTEIRO,
GOVERNADOR VALADARES,RICARDO PEDROSA,
GOVERNADOR VALADARES,ROSEMARY MAFRA,
GUARULHOS,ELOI PIETA,
GUARULHOS,FRAN CORREA,
GUARULHOS,GUTI,
GUARULHOS,JORGE WILSON,
GUARULHOS,MARCIO NAKASHIMA,
GUARULHOS,RODRIGO TAVARES,
GUARULHOS,WAGNER FREITAS,
GUIA LOPES DA LAGUNA,ADEMIR BIU,
GUIA LOPES DA LAGUNA,CLAUDIO MARQUES,
GUIA LOPES DA LAGUNA,CLEITON,
GUIA LOPES DA LAGUNA,ELIZEU SANTOS,
GUIA LOPES DA LAGUNA,JACOMO DAGOSTIN,
GUIA LOPES DA LAGUNA,JAIR SCAPINI,
HUMBERTO DE CAMPOS,CATIUMBA,
HUMBERTO DE CAMPOS,GARDENIA,
HUMBERTO DE CAMPOS,GUTO,
HUMBERTO DE CAMPOS,IBERVON,
